time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,G(i)_POA
20180118:1310,0,61.81,1.23,15.2,0.63,6.48,0,63.04
20180118:1410,14.88,36.52,0.74,6.19,0.28,4.9,0,52.14
20180118:1510,0,0,0,0,-0.84,6.28,0,0
20180118:1610,0,0,0,0,-1.71,5.72,0,0
20180118:1710,0,0,0,0,-2.28,5.03,0,0
20180118:1810,0,0,0,0,-2.71,4.55,0,0
20180118:1910,0,0,0,0,-2.72,4.41,0,0
20180118:2010,0,0,0,0,-2.87,4.48,0,0
20180118:2110,0,0,0,0,-2.93,4.76,0,0
20180118:2210,0,0,0,0,-3.08,4.69,0,0
20180118:2310,0,0,0,0,-3.2,5.24,0,0
20180119:0010,0,0,0,0,-3.34,5.31,0,0
20180119:0110,0,0,0,0,-3.41,4.76,0,0
20180119:0210,0,0,0,0,-3.56,4.34,0,0
20180119:0310,0,0,0,0,-3.49,4.41,0,0
20180119:0410,0,0,0,0,-3.64,4,0,0
20180119:0510,0,0,0,0,-3.87,3.72,0,0
20180119:0610,37.03,73.77,1.54,9.59,-3.86,3.86,0,112.34
20180119:0710,31.9,135.72,2.84,18.12,-3.35,4,0,170.46
20180119:0810,218,237.35,5.86,24.77,-2.55,4.21,0,461.21
20180119:0910,73.2,240.03,5.19,28.9,-1.57,4.34,0,318.42
20180119:1010,239.24,284.03,7.03,29.98,-0.91,4.14,0,530.3
20180119:1110,708.14,167.91,8.93,27.83,-0.14,4,0,884.98
20180119:1210,608.62,142.38,7.25,22.77,0.56,3.93,0,758.25
20180119:1310,362.97,127.91,4.39,15.41,0.6,3.52,0,495.27
20180119:1410,148.48,62.84,1.43,6.39,0.22,2.9,0,212.75
